x (m)	y (m)	z (m)	 	R (m)	Theta (deg)	z (m)	 	Bx (T)	By (T)	Bz (T)	 	Br (T)	Btheta (T)	Bz (T)	 	B (T)
-2.3	0	0	 	2.3	180	0	 	-3.04582e-16	-2.4871	0	 	0	2.4871	0	 	2.4871
-2.25	0	0	 	2.25	180	0	 	-3.12507e-16	-2.55181	0	 	0	2.55181	0	 	2.55181
-2.2	0	0	 	2.2	180	0	 	-3.20779e-16	-2.61936	0	 	0	2.61936	0	 	2.61936
-2.15	0	0	 	2.15	180	0	 	-2.18399e-16	-2.68993	0	 	-1.11022e-16	2.68993	0	 	2.68993
-2.1	0	0	 	2.1	180	0	 	-3.38459e-16	-2.76373	0	 	0	2.76373	0	 	2.76373
-2.05	0	0	 	2.05	180	0	 	-3.47922e-16	-2.841	0	 	0	2.841	0	 	2.841
-2	0	0	 	2	180	0	 	-3.5784e-16	-2.92199	0	 	0	2.92199	0	 	2.92199
-1.95	0	0	 	1.95	180	0	 	-3.68248e-16	-3.00697	0	 	0	3.00697	0	 	3.00697
-1.9	0	0	 	1.9	180	0	 	-2.68162e-16	-3.09627	0	 	-1.11022e-16	3.09627	0	 	3.09627
-1.85	0	0	 	1.85	180	0	 	-5.01712e-16	-3.19022	0	 	1.11022e-16	3.19022	0	 	3.19022
-1.8	0	0	 	1.8	180	0	 	-4.02811e-16	-3.2892	0	 	0	3.2892	0	 	3.2892
-1.75	0	0	 	1.75	180	0	 	-4.15602e-16	-3.39365	0	 	0	3.39365	0	 	3.39365
-1.7	0	0	 	1.7	180	0	 	-4.29119e-16	-3.50402	0	 	0	3.50402	0	 	3.50402
-1.65	0	0	 	1.65	180	0	 	-4.43428e-16	-3.62086	0	 	0	3.62086	0	 	3.62086
-1.6	0	0	 	1.6	180	0	 	-4.58602e-16	-3.74477	0	 	0	3.74477	0	 	3.74477
-1.55	0	0	 	1.55	180	0	 	-3.63702e-16	-3.87642	0	 	-1.11022e-16	3.87642	0	 	3.87642
-1.5	0	0	 	1.5	180	0	 	-6.02911e-16	-4.01658	0	 	1.11022e-16	4.01658	0	 	4.01658
-1.45	0	0	 	1.45	180	0	 	-3.99179e-16	-4.16611	0	 	-1.11022e-16	4.16611	0	 	4.16611
-1.4	0	0	 	1.4	180	0	 	-5.29786e-16	-4.32603	0	 	0	4.32603	0	 	4.32603
-1.35	0	0	 	1.35	180	0	 	-4.39758e-16	-4.49747	0	 	-1.11022e-16	4.49747	0	 	4.49747
-1.3	0	0	 	1.3	180	0	 	-3.51304e-16	-4.68175	0	 	-2.22045e-16	4.68175	0	 	4.68175
-1.25	0	0	 	1.25	180	0	 	-7.087e-16	-4.88041	0	 	1.11022e-16	4.88041	0	 	4.88041
-1.2	0	0	 	1.2	180	0	 	-7.35008e-16	-5.09523	0	 	1.11022e-16	5.09523	0	 	5.09523
-1.15	0	0	 	1.15	180	0	 	-4.30487e-16	-5.32832	0	 	-2.22045e-16	5.32832	0	 	5.32832
-1.1	0	0	 	1.1	180	0	 	-9.05662e-16	-5.58216	0	 	2.22045e-16	5.58216	0	 	5.58216
